source_organisation,dataset,release_or_sample,period,container_type,spreadsheet_present,pdf_present,sheet_name,rows_estimate,columns_estimate,header_row_estimate,geography_field,date_or_period_field,measure_fields,layout_type,structural_notes
NBS,NBS Selected Food Price Watch,Selected_food_table_Jan25.xlsx :: Selected_food_table_Jan25.xlsx,2025-01,XLSX,YES,NO,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,selected_food_table_Apr25.xlsx :: selected_food_table_Apr25.xlsx,2025-04,XLSX,YES,NO,Selected Food Dec 2024,43,12,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,selected_food_table_Apr25.xlsx :: selected_food_table_Apr25.xlsx,2025-04,XLSX,YES,NO,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,selected_food_table_Feb_25.xlsx :: selected_food_table_Feb_25.xlsx,2025-02,XLSX,YES,NO,Selected Food Feb. 2025,43,8,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,selected_food_table_Feb_25.xlsx :: selected_food_table_Feb_25.xlsx,2025-02,XLSX,YES,NO,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS Selected Food Price Watch,selected_food_table_Mar_25.xlsx :: selected_food_table_Mar_25.xlsx,2025-03,XLSX,YES,NO,Selected Food Dec 2024,43,8,1,Highest,,MoM | YoY,WIDE,3 date-like column headers (period values stored as columns)
NBS,NBS Selected Food Price Watch,selected_food_table_Mar_25.xlsx :: selected_food_table_Mar_25.xlsx,2025-03,XLSX,YES,NO,Zone All item,43,7,1,,,,UNKNOWN,
NBS,NBS PMS (Petrol) Price Watch,Fuel_Report_April_2025.xlsx :: Fuel_Report_April_2025.xlsx,2025-04,XLSX,YES,NO,Fuel April 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 701.2444250944251 | 1261.6457672081458 | 1239""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,Fuel_Report_May_2025.xlsx :: Fuel_Report_May_2025.xlsx,2025-05,XLSX,YES,NO,Fuel May 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 769.6170309432758 | 1239.3271114285071 | 1027""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS Report March 2025.xlsx :: PMS Report March 2025.xlsx,2025-03,XLSX,YES,NO,Fuel March 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 696.787226749711 | 1245.80113436542 | 1261.64""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS Report OCTOBER 2025.zip :: PMS_OCT_2025.xlsx,2025-10,ZIP,YES,YES,PMS_OCT_2025,55,8,15,State,,Average Price,WIDE,"2 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE AUGUST 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1184.8254225255844 | 970.5879660649986 | 1052""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_APRIL_2026.zip :: Fuel APRIL 2026.xlsx,2026-04,ZIP,YES,YES,Fuel APRIL 2026,42,10,2,State,,Average Price,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE APRIL 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1239.32711142851 | 1288.54210053312 | 1532.92""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_DECEMBER_2025.zip :: PMS_DECEMBER_2025.xlsx,2025-12,ZIP,YES,YES,Fuel December 2025,55,10,15,State,,Average Price,WIDE,"2 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE DECEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1189.1212378095613 | 1061.3500169049423 | 104""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_FEB_2025.xlsx :: PMS_FEB_2025.xlsx,2025-02,XLSX,YES,NO,Fuel February 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 679.36448345666 | 1258.3446139544 | 1245.8011""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Jan_2025.xlsx :: PMS_Jan_2025.xlsx,2025-01,XLSX,YES,NO,Fuel January 2025,41,11,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 668.296550683408 | 1189.12123780956 | 1258.34""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_REPORT_NOV_2025.zip :: Fuel_NOV_2025.xlsx,2025-11,ZIP,YES,YES,Fuel November 2025,55,10,15,State,,Average Price,WIDE,"2 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE NOVEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1214.1674524908103 | 1052.311547273941 | 1061""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_AUG_SEPT_2025.zip :: PMS_SEPTEMBER_2025.xlsx,2025-09,ZIP,YES,YES,PMS SEPTEMBER 2025,42,10,2,State,,Average Price,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE SEPTEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1030.4633875725708 | 988.2533804986764 | 970.""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_AUG_SEPT_2025.zip :: PMS AUGUST 2025.xlsx,2025-08,ZIP,YES,YES,PMS AUGUST 2025,42,10,2,State,,Average Price,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE AUGUST 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 830.4550088742387 | 1024.9930062617211 | 988.""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_April_2025.pdf,2025-04,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_FEBRUARY_2026.zip :: PMS_FEBRUARY_ 2026.xlsx,2026-02,ZIP,YES,YES,Fuel FEBRUARY 2026,42,10,2,State,,Average Price,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE FEBRUARY 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1245.8011343654223 | 1034.7558449707458 | 105""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_FEB_2025.pdf,2025-02,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_JANUARY_2026.zip :: PMS_JANUARY_2025.xlsx,2025-01,ZIP,YES,YES,Sheet1,62,8,2,State,,,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE JANUARY 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1258.344613954397 | 1048.6271376644258 | 1034""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_JAN_2025.pdf,2025-01,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_JULY_2025.zip :: Fuel_Report_July_2025.xlsx,2025-07,ZIP,YES,YES,Fuel JULY 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 770.5418841255301 | 1037.6594291327074 | 1024""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_JUNE_2025.pdf,2025-06,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_June_2025.xlsx :: PMS_Report_June_2025.xlsx,2025-06,XLSX,YES,NO,Fuel June 2025,41,10,1,State,,Average Price,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 750.1722751296668 | 1027.7573777589457 | 1037""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_MARCH_2026.zip :: PMS_March_ 2026.xlsx,2026-03,ZIP,YES,YES,Fuel MARCH 2026,55,10,15,State,,Average Price,WIDE,"2 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE MARCH 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1261.6457672081458 | 1051.4722455965084 | 128""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_MAY_2025.pdf,2025-05,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_MAY_2026.zip :: Fuel_MAY_2026.xlsx,2026-05,ZIP,YES,YES,Fuel MAY 2026,43,10,3,State,,Average Price,WIDE,"1 title/metadata row(s) above the header: ""PREMIUM MOTOR SPIRIT AVERAGE PRICE PER LITRE MAY 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""AVERAGE | 1027.7573777589457 | 1532.9262169189903 | 159""); 3 date-like column headers (period values stored as columns)"
NBS,NBS PMS (Petrol) Price Watch,PMS_Report_March_2025.pdf,2025-03,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_APRIL_2026.zip :: Diesel APRIL 2026.xlsx,2026-04,ZIP,YES,YES,DIESEL APRIL 2026,46,17,2,(unnamed column 1),,YoY | MoM,WIDE,"1 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) APRIL 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1722.4533100275403 | 1648.0826397050034 | 24""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_DECEMBER_2025.zip :: DIESEL_DECEMBER_2025.xlsx,2025-12,ZIP,YES,YES,DIESEL DECEMBER 2025,60,9,16,(unnamed column 1),,YoY | MoM,WIDE,"2 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) DECEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1447.6150560804215 | 1409.6113055655057 | 14""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_FEB_2025.xlsx :: AGO_FEB_2025.xlsx,2025-02,XLSX,YES,NO,DIESEL FEBRUARY 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1257.06107891744 | 1501.57501532351 | 1501.0""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_JAN_2025.xlsx :: AGO_JAN_2025.xlsx,2025-01,XLSX,YES,NO,DIESEL JANUARY 2025 ,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1153.00598886216 | 1447.61505608042 | 1501.5""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_REPORT_NOV_2025.zip :: DIESEL_NOV_2025.xlsx,2025-11,ZIP,YES,YES,Sheet1,60,10,16,(unnamed column 1),,YoY | MoM,WIDE,"2 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) NOVEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1446.8322746796844 | 1398.5749435864798 | 14""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_AUGUST_SEPTEMBER_2025.zip :: DIESEL_SEPTEMBER_2025.xlsx,2025-09,ZIP,YES,YES,Sheet1,60,10,16,(unnamed column 1),,YoY | MoM,WIDE,"2 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) SEPTEMBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1418.8311287186523 | 1551.8810880224912 | 12""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_AUGUST_SEPTEMBER_2025.zip :: DIESEL_AUGUST_2025.xlsx,2025-08,ZIP,YES,YES,Sheet1,47,10,3,(unnamed column 1),,YoY | MoM,WIDE,"1 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) AUGUST 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1406.0513496505741 | 1789.450569514204 | 155""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_April_2025.pdf,2025-04,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_FEBRUARY_2025.pdf,2025-02,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_FEBRUARY_2026.zip :: AGO_FEBRUARY_2026.xlsx,2026-02,ZIP,YES,YES,Sheet1,46,15,2,(unnamed column 1),,YoY | MoM,WIDE,"1 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) FEBRUARY 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1501.0543078787641 | 1361.5712221485276 | 14""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_JANUARY_2025.pdf,2025-01,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_JANUARY_2026.zip :: AGO JANUARY 2026.xlsx,2026-01,ZIP,YES,YES,DIESEL JANUARY 2026,46,17,2,(unnamed column 1),,YoY | MoM,WIDE,"1 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) JANUARY 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1501.575015323509 | 1401.629582908583 | 1361""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_JULY_2025.zip :: Diesel_Report_July_2025.xlsx,2025-07,ZIP,YES,YES,DIESEL JULY 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1379.4774585027117 | 1813.808721571157 | 178""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_JUNE_2025.pdf,2025-06,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_MARCH_2025.pdf,2025-03,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_MAY_2025.pdf,2025-05,PDF,NO,YES,,,,,,,,UNKNOWN,Report PDF only - no spreadsheet in this release. 
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_MAY_2026.zip :: DIESEL_MAY_2026.xlsx,2026-05,ZIP,YES,YES,DIESEL MAY 2026,47,11,3,(unnamed column 1),,YoY | MoM,WIDE,"1 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) MAY 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1758.2561604923108 | 2474.690141160973 | 327""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_March_2026.zip :: AGO_MARCH_2026.xlsx,2026-03,ZIP,YES,YES,DIESEL MARCH 2026,60,17,16,(unnamed column 1),,YoY | MoM,WIDE,"2 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) MARCH 2026 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1599.30053473809 | 1420.17171767312 | 1648.0""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,AGO_Report_OCTOBER_2025.zip :: AGO_OCT_2025.xlsx,2025-10,ZIP,YES,YES,DIESEL OCTOBER 2025,60,17,16,(unnamed column 1),,YoY | MoM,WIDE,"2 title/metadata row(s) above the header: ""AUTOMOTIVE GAS OIL (DIESEL) OCTOBER 2025 REPORT""; embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1441.2844108600957 | 1277.8090605308903 | 13""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,Diesel Report March 2025.xlsx :: Diesel Report March 2025.xlsx,2025-03,XLSX,YES,NO,DIESEL MARCH 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1341.15919090692 | 1501.05430787876 | 1599.3""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,Diesel_Report_April_2025.xlsx :: Diesel_Report_April_2025.xlsx,2025-04,XLSX,YES,NO,DIESEL APRIL 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1415.0589627636775 | 1599.3005347380927 | 17""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,Diesel_Report_June_2025.xlsx :: Diesel_Report_June_2025.xlsx,2025-06,XLSX,YES,NO,DIESEL JUNE 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1462.9752268131906 | 1758.2561604923108 | 18""); 3 date-like column headers (period values stored as columns)"
NBS,NBS AGO (Diesel) Price Watch,Diesel_Report_May_2025.xlsx :: Diesel_Report_May_2025.xlsx,2025-05,XLSX,YES,NO,DIESEL MAY 2025,45,17,1,(unnamed column 1),,YoY | MoM,WIDE,"embedded national/zone/total rows inside the data block (e.g. ""NATIONAL | 1403.9620118025737 | 1722.4533100275403 | 17""); 3 date-like column headers (period values stored as columns)"
NBS,NBS LPG (Cooking Gas) Price Watch,GAS_PRICE_WATCH_APRIL_2025.xlsx :: GAS_PRICE_WATCH_APRIL_2025.xlsx,2025-04,XLSX,YES,NO,LPG APR 2025,58,15,2,(unnamed column 1),,MoM | YoY | MoM | YoY,WIDE,"1 title/metadata row(s) above the header: ""5KG | 12.5KG""; embedded national/zone/total rows inside the data block (e.g. ""Average | 6521.581028867794 | 7322.489368000648 | 7885.""); 6 date-like column headers (period values stored as columns)"
NBS,NBS LPG (Cooking Gas) Price Watch,GAS_PRICE_WATCH_FEB_2025.xlsx :: GAS_PRICE_WATCH_FEB_2025.xlsx,2025-02,XLSX,YES,NO,LPG FEB 2025,57,17,2,(unnamed column 1),,MoM | YoY | MoM | YoY,WIDE,"1 title/metadata row(s) above the header: ""5KG | 12.5KG""; embedded national/zone/total rows inside the data block (e.g. ""Average | 6154.4967396452685 | 7040.9411521700995 | 707""); 6 date-like column headers (period values stored as columns)"
NBS,NBS LPG (Cooking Gas) Price Watch,GAS_PRICE_WATCH_JAN_2025.xlsx :: GAS_PRICE_WATCH_JAN_2025.xlsx,2025-01,XLSX,YES,NO,LPG JAN 2025,57,17,2,(unnamed column 1),,MoM | YoY | MoM | YoY,WIDE,"1 title/metadata row(s) above the header: ""5KG | 12.5KG""; embedded national/zone/total rows inside the data block (e.g. ""Average | 5139.245609251645 | 7177.2691560312915 | 7040""); 6 date-like column headers (period values stored as columns)"
NBS,NBS LPG (Cooking Gas) Price Watch,GAS_PRICE_WATCH_MARCH_2025.xlsx :: GAS_PRICE_WATCH_MARCH_2025.xlsx,2025-03,XLSX,YES,NO,LPG MAR 2025,57,17,2,(unnamed column 1),,MoM | YoY | MoM | YoY,WIDE,"1 title/metadata row(s) above the header: ""5KG | 12.5KG""; embedded national/zone/total rows inside the data block (e.g. ""Average | 6591.621294687472 | 7072.101997859159 | 7322.""); 6 date-like column headers (period values stored as columns)"
NBS,NBS LPG (Cooking Gas) Price Watch,GAS_PRICE_WATCH_May_2025.xlsx :: GAS_PRICE_WATCH_May_2025.xlsx,2025-05,XLSX,YES,NO,LPG MAY 2025,57,17,2,(unnamed column 1),,MoM | YoY | MoM | YoY,WIDE,"1 title/metadata row(s) above the header: ""5KG | 12.5KG""; embedded national/zone/total rows inside the data block (e.g. ""Average | 7418.446840472972 | 7885.601856493706 | 8167.""); 6 date-like column headers (period values stored as columns)"
