filename,relative_path,size_bytes,file_type,basic_integrity_check,status,notes
LPG_July_2025.zip,nbs/cooking_gas/LPG_July_2025.zip,3352265,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_Report_Price_Watch_July_2025.pdf | GAS_PRICE_WATCH_JULY_2025.xlsx
LPG_June_2025_Report.pdf,nbs/cooking_gas/LPG_June_2025_Report.pdf,3442454,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Nov_Dec_2025.zip,nbs/cooking_gas/LPG_Nov_Dec_2025.zip,7053478,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: GAS PRICE WATCH DECEMBER 2025_.xlsx | LPG_December_2025_Report.pdf | LPG_November_2025_Report.pdf | GAS PRICE WATCH NOVEMBER 2025__.xlsx
LPG_Report_APR26.zip,nbs/cooking_gas/LPG_Report_APR26.zip,3376325,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_report__APR26.pdf | GAS PRICE WATCH APRIL 2026_table.xlsx
LPG_Report_April_2025.pdf,nbs/cooking_gas/LPG_Report_April_2025.pdf,3466340,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Report_Feb-March_2026.zip,nbs/cooking_gas/LPG_Report_Feb-March_2026.zip,7122504,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: LPG_Report_March_2026.pdf | GAS Price Watch March_2026_table.xlsx | GAS PRICE WATCH FEBRUARY 2026_table.xlsx | LPG Report Feb26.pdf
LPG_Report_February_2025.pdf,nbs/cooking_gas/LPG_Report_February_2025.pdf,5003076,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Report_January_2025.pdf,nbs/cooking_gas/LPG_Report_January_2025.pdf,1469772,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Report_MAY_2025.pdf,nbs/cooking_gas/LPG_Report_MAY_2025.pdf,3428977,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Report_March_2025.pdf,nbs/cooking_gas/LPG_Report_March_2025.pdf,3488120,PDF,"PDF header OK, %%EOF present",PASS,
LPG_Report_OCT_25.zip,nbs/cooking_gas/LPG_Report_OCT_25.zip,3212357,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_Report_OCT_25.pdf | GAS PRICE WATCH OCTOBER 2025.xlsx
LPG_Report_Report_Jan2026.zip,nbs/cooking_gas/LPG_Report_Report_Jan2026.zip,3929613,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_Report_Report_Jan2026.pdf | GAS PRICE WATCH JANUARY 2026_table.xlsx
LPG_Report_Sept_2025.zip,nbs/cooking_gas/LPG_Report_Sept_2025.zip,3172634,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: LPG_Report_Sept_2025.pdf | GAS_PRICE_WATCH_SEPTEMBER_2025.xlsx
TRANSPORT_COST_Watch_APR_2025.xlsx,nbs/transport/TRANSPORT_COST_Watch_APR_2025.xlsx,17646,XLSX,"OOXML container opened read-only, 14 parts",PASS,
TRANSPORT_COST_Watch_FEB_2025.xlsx,nbs/transport/TRANSPORT_COST_Watch_FEB_2025.xlsx,16188,XLSX,"OOXML container opened read-only, 12 parts",PASS,
TRANSPORT_COST_Watch_JAN_2025.xlsx,nbs/transport/TRANSPORT_COST_Watch_JAN_2025.xlsx,17181,XLSX,"OOXML container opened read-only, 14 parts",PASS,
TRANSPORT_COST_Watch_MAR_2025.xlsx,nbs/transport/TRANSPORT_COST_Watch_MAR_2025.xlsx,16369,XLSX,"OOXML container opened read-only, 12 parts",PASS,
Transport Fare Watch Report Nov_Dec_2025.zip,nbs/transport/Transport Fare Watch Report Nov_Dec_2025.zip,14817208,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: Transport Fare Watch Report_Dec2025.pdf | Transport Fare Watch Report_Nov2025.pdf | TRANSPORT COST Watch NOV_2025_.xlsx | TRANSPORT COST Watch DEC_2025_.xlsx
Transport_Fare_Report_Apr_2025.pdf,nbs/transport/Transport_Fare_Report_Apr_2025.pdf,7303634,PDF,"PDF header OK, %%EOF present",PASS,
Transport_Fare_Report_April_2026.zip,nbs/transport/Transport_Fare_Report_April_2026.zip,6875342,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_Fare_Report_April_2026.pdf | TRANSPORT COST Watch APR_2026_ (1).xlsx
Transport_MAY_JUNE_JULY_2025.zip,nbs/transport/Transport_MAY_JUNE_JULY_2025.zip,20629551,ZIP,"ZIP listed OK (6 members), CRC test passed",PASS,members: Transport_MAY_2025.pdf | Transport_JUNE_2025.pdf | Transport_JULY_2025.pdf | TRANSPORT COST Watch JUN_2025_.xlsx | TRANSPORT COST Watch JUL_2025_.xlsx | TRANSPORT COST Watch MAY_2025_.xlsx
Transport_Report_AUG_SEPT_2025.zip,nbs/transport/Transport_Report_AUG_SEPT_2025.zip,13730179,ZIP,"ZIP listed OK (4 members), CRC test passed",PASS,members: Transport_Report_SEPT_2025.pdf | Transport_Report_AUG_2025.pdf | TRANSPORT COST Watch AUG_2025_.xlsx | TRANSPORT COST Watch SEPT_2025_.xlsx
Transport_Report_MAR26.zip,nbs/transport/Transport_Report_MAR26.zip,6904894,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_Report_MAR26.pdf | TRANSPORT COST Watch MAR_2026_.xlsx
Transport_Report_MAY_2026.zip,nbs/transport/Transport_Report_MAY_2026.zip,7078247,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_Report_MAY_2026.pdf | TRANSPORT COST Watch MAY_2026_.xlsx
Transport_Report_October_2025.zip,nbs/transport/Transport_Report_October_2025.zip,6918753,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_Report_October_2025.pdf | TRANSPORT_COST_Watch_OCT_2025.xlsx
Transport_report_FEB_2026.zip,nbs/transport/Transport_report_FEB_2026.zip,7601825,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_report_FEB_2026.pdf | TRANSPORT_COST_Watch_FEB_2026.xlsx
Transport_report_JAN_2026.zip,nbs/transport/Transport_report_JAN_2026.zip,7605344,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: Transport_report_JAN_2026.pdf | TRANSPORT_COST_Watch_JAN_2026.xlsx
CPI_APRIL_2025.pdf,nbs/cpi/CPI_APRIL_2025.pdf,1112275,PDF,"PDF header OK, %%EOF present",PASS,
CPI_APRIL_2026.zip,nbs/cpi/CPI_APRIL_2026.zip,2340775,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_APRIL_2026.pdf | cpi_1New_April2026.xlsx
CPI_AUGUST_2025.zip,nbs/cpi/CPI_AUGUST_2025.zip,1205297,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_AUGUST_2025.pdf | CPI_August25.xlsx
CPI_December_2025_Report.zip,nbs/cpi/CPI_December_2025_Report.zip,2245552,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_December_2025_Report.pdf | cpi_1New_December2025.xlsx
CPI_June_2025_Report.pdf,nbs/cpi/CPI_June_2025_Report.pdf,1269316,PDF,"PDF header OK, %%EOF present",PASS,
CPI_MARCH_2025.pdf,nbs/cpi/CPI_MARCH_2025.pdf,1113133,PDF,"PDF header OK, %%EOF present",PASS,
CPI_MAY_2026.zip,nbs/cpi/CPI_MAY_2026.zip,2445866,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_MAY_2026.pdf | cpi_1New_May2026.xlsx
CPI_May_2025_Report.pdf,nbs/cpi/CPI_May_2025_Report.pdf,1200805,PDF,"PDF header OK, %%EOF present",PASS,
CPI_November_2025.zip,nbs/cpi/CPI_November_2025.zip,1399679,ZIP,"ZIP listed OK (2 members), CRC test passed",PASS,members: CPI_November_2025.pdf | cpi_1New_November25.xlsx
