source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS PMS (Petrol) Price Watch,2025-06,2025-06,PMS Report June 2025,PMS_Report_JUNE_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1260,DOWNLOADED,NO,YES,2025-06,
NBS,NBS PMS (Petrol) Price Watch,2025-06,2025-06,PMS June 2025 Tables,PMS_Report_June_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1261,DOWNLOADED,YES,NO,2025-06,
NBS,NBS PMS (Petrol) Price Watch,2025-07,2025-07,PMS Report July 2025,PMS_Report_JULY_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1277,DOWNLOADED,YES,YES,2025-07,archive members: PMS_Report_JULY_2025.pdf | Fuel_Report_July_2025.xlsx
NBS,NBS PMS (Petrol) Price Watch,2025-08,2025-09,PMS Report August-September 2025,PMS_Report_AUG_SEPT_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1357,DOWNLOADED,YES,YES,2025-08;2025-09,COMBINED RELEASE covering 2 months in one official file; archive members: PMS Report AUGUST 2025.pdf | PMS Report SEPTEMBER 2025.pdf | PMS_SEPTEMBER_2025.xlsx | PMS AUGUST 2025.xlsx
NBS,NBS PMS (Petrol) Price Watch,2025-10,2025-10,PMS Report October 2025,PMS Report OCTOBER 2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1314,DOWNLOADED,YES,YES,2025-10,archive members: PMS Report OCTOBER 2025.pdf | PMS_OCT_2025.xlsx
NBS,NBS PMS (Petrol) Price Watch,2025-11,2025-11,PMS Report November 2025,PMS_REPORT_NOV_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1328,DOWNLOADED,YES,YES,2025-11,archive members: PMS_Report_NOVEMBER_2025.pdf | Fuel_NOV_2025.xlsx
NBS,NBS PMS (Petrol) Price Watch,2025-12,2025-12,PMS Report December 2025,PMS_DECEMBER_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1345,DOWNLOADED,YES,YES,2025-12,archive members: PMS_DECEMBER_2025.xlsx | PMS Report DECEMBER 2025.pdf
NBS,NBS PMS (Petrol) Price Watch,2026-01,2026-01,PMS Report January 2026,PMS_Report_JANUARY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1358,DOWNLOADED,YES,YES,2026-01,archive members: PMS Report JANUARY 2026.pdf | PMS_JANUARY_2025.xlsx
NBS,NBS PMS (Petrol) Price Watch,2026-02,2026-02,PMS Report February 2026,PMS_Report_FEBRUARY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1374,DOWNLOADED,YES,YES,2026-02,archive members: PMS_Report_FEBRUARY_2026.pdf | PMS_FEBRUARY_ 2026.xlsx
NBS,NBS PMS (Petrol) Price Watch,2026-03,2026-03,PMS Report March 2026,PMS_Report_MARCH_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1398,DOWNLOADED,YES,YES,2026-03,archive members: PMS Report MARCH 2026.pdf | PMS_March_ 2026.xlsx
NBS,NBS PMS (Petrol) Price Watch,2026-04,2026-04,PMS Report April 2026,PMS_APRIL_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1410,DOWNLOADED,YES,YES,2026-04,archive members: Fuel APRIL 2026.xlsx | PMS Report APRIL 2026.pdf
NBS,NBS PMS (Petrol) Price Watch,2026-05,2026-05,PMS Report May 2026,PMS_Report_MAY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/157/download/1424,DOWNLOADED,YES,YES,2026-05,archive members: PMS Report MAY 2026.pdf | Fuel_MAY_2026.xlsx
NBS,NBS AGO (Diesel) Price Watch,2025-01,2025-01,AGO Report January 2025,AGO_Report_JANUARY_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1167,DOWNLOADED,NO,YES,2025-01,
NBS,NBS AGO (Diesel) Price Watch,2025-01,2025-01,AGO January 2025 Tables,AGO_JAN_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1168,DOWNLOADED,YES,NO,2025-01,
NBS,NBS AGO (Diesel) Price Watch,2025-02,2025-02,AGO Report February 2025,AGO_Report_FEBRUARY_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1169,DOWNLOADED,NO,YES,2025-02,
