release_month,observation_month,geography_type,geography_name,geography_raw_label,state,zone,is_aggregate,price_ngn_per_litre,unit,source_period_label,is_primary_release,source_anomaly,header_row_used,source_file,source_member,source_sheet,source_row,source_column_index,source_cell_reference
2026-02-01,2026-02-01,ZONE,South West,South West,,South West,TRUE,1023.8938964456062,NGN per litre,Average Price,TRUE,,2,PMS_Report_FEBRUARY_2026.zip,PMS_FEBRUARY_ 2026.xlsx,Fuel FEBRUARY 2026,7,7,G7
2026-02-01,2026-02-01,NATIONAL,Nigeria,AVERAGE,,,TRUE,1051.4722455965084,NGN per litre,2026-02-01,TRUE,,2,PMS_Report_FEBRUARY_2026.zip,PMS_FEBRUARY_ 2026.xlsx,Fuel FEBRUARY 2026,40,4,D40
2026-03-01,2025-03-01,STATE,Abia,Abia,Abia,South East,FALSE,1305,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,16,2,B16
2026-03-01,2025-03-01,STATE,Abuja,Abuja,Abuja,North Central,FALSE,1149.4146,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,17,2,B17
2026-03-01,2025-03-01,STATE,Adamawa,Adamawa,Adamawa,North East,FALSE,1400,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,18,2,B18
2026-03-01,2025-03-01,STATE,Akwa Ibom,Akwa Ibom,Akwa Ibom,South South,FALSE,1184.05625,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,19,2,B19
2026-03-01,2025-03-01,STATE,Anambra,Anambra,Anambra,South East,FALSE,1142.44883333333,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,20,2,B20
2026-03-01,2025-03-01,STATE,Bauchi,Bauchi,Bauchi,North East,FALSE,1125.549,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,21,2,B21
2026-03-01,2025-03-01,STATE,Bayelsa,Bayelsa,Bayelsa,South South,FALSE,1000,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,22,2,B22
2026-03-01,2025-03-01,STATE,Benue,Benue,Benue,North Central,FALSE,1451.69333333333,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,23,2,B23
2026-03-01,2025-03-01,STATE,Borno,Borno,Borno,North East,FALSE,1138.7,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,24,2,B24
2026-03-01,2025-03-01,STATE,Cross River,Cross River,Cross River,South South,FALSE,1563.86388888889,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,25,2,B25
2026-03-01,2025-03-01,STATE,Delta,Delta,Delta,South South,FALSE,1175.93028571429,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,26,2,B26
2026-03-01,2025-03-01,STATE,Ebonyi,Ebonyi,Ebonyi,South East,FALSE,1186.354,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,27,2,B27
2026-03-01,2025-03-01,STATE,Edo,Edo,Edo,South South,FALSE,1256.608,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,28,2,B28
2026-03-01,2025-03-01,STATE,Ekiti,Ekiti,Ekiti,South West,FALSE,963.40233333333,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,29,2,B29
2026-03-01,2025-03-01,STATE,Enugu,Enugu,Enugu,South East,FALSE,1500,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,30,2,B30
2026-03-01,2025-03-01,STATE,Gombe,Gombe,Gombe,North East,FALSE,1155.40833333333,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,31,2,B31
2026-03-01,2025-03-01,STATE,Imo,Imo,Imo,South East,FALSE,1524.15,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,32,2,B32
2026-03-01,2025-03-01,STATE,Jigawa,Jigawa,Jigawa,North West,FALSE,1700,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,33,2,B33
2026-03-01,2025-03-01,STATE,Kaduna,Kaduna,Kaduna,North West,FALSE,1650,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,34,2,B34
2026-03-01,2025-03-01,STATE,Kano,Kano,Kano,North West,FALSE,1530.55875,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,35,2,B35
2026-03-01,2025-03-01,STATE,Katsina,Katsina,Katsina,North West,FALSE,1474.42138895645,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,36,2,B36
2026-03-01,2025-03-01,STATE,Kebbi,Kebbi,Kebbi,North West,FALSE,1125.549,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,37,2,B37
2026-03-01,2025-03-01,STATE,Kogi,Kogi,Kogi,North Central,FALSE,1298.93928571429,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,38,2,B38
2026-03-01,2025-03-01,STATE,Kwara,Kwara,Kwara,North Central,FALSE,1106.143,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,39,2,B39
2026-03-01,2025-03-01,STATE,Lagos,Lagos,Lagos,South West,FALSE,975,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,40,2,B40
2026-03-01,2025-03-01,STATE,Nasarawa,Nasarawa,Nasarawa,North Central,FALSE,1238.21246722192,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,41,2,B41
2026-03-01,2025-03-01,STATE,Niger,Niger,Niger,North Central,FALSE,1309,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,42,2,B42
2026-03-01,2025-03-01,STATE,Ogun,Ogun,Ogun,South West,FALSE,1143.7905,NGN per litre,2025-03-01,FALSE,,15,PMS_Report_MARCH_2026.zip,PMS_March_ 2026.xlsx,Fuel MARCH 2026,43,2,B43
