state_id,state_name,zone_name,observation_month,metric_code,metric_value,unit,in_primary_release_window,v_year_ago,fare_yoy_pct,cpi_yoy_pct,gap_pp
9,Borno,North East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1180.8546,NGN per journey,True,630.0,87.4372,6.7183,80.7189
10,Cross River,South South,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1230.1817,NGN per journey,True,880.0,39.7934,14.6055,25.1878
10,Cross River,South South,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,925.1335,NGN per journey,True,680.0,36.049,14.6055,21.4435
10,Cross River,South South,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1524.2037,NGN per journey,True,945.0,61.2914,14.8815,46.4098
10,Cross River,South South,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1100.5428,NGN per journey,True,730.0,50.7593,23.5944,27.1649
10,Cross River,South South,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1474.2037,NGN per journey,True,930.0,58.5165,23.5944,34.9221
10,Cross River,South South,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1173.3767,NGN per journey,False,763.0,53.7846,17.3141,36.4706
10,Cross River,South South,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1587.107,NGN per journey,False,970.225,63.5813,17.3141,46.2673
10,Cross River,South South,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1155.8443,NGN per journey,True,735.0,57.2577,14.8815,42.3762
11,Delta,South South,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1228.1749,NGN per journey,True,970.0,26.616,13.5791,13.0368
11,Delta,South South,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,826.4293,NGN per journey,True,666.6667,23.9644,13.5791,10.3853
11,Delta,South South,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1485.7376,NGN per journey,True,1060.0,40.1639,20.7446,19.4193
11,Delta,South South,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,905.0072,NGN per journey,True,729.66,24.0314,16.2276,7.8038
11,Delta,South South,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1480.3207,NGN per journey,True,1040.0,42.3385,16.2276,26.1109
11,Delta,South South,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,979.69,NGN per journey,False,740.0,32.3905,21.4904,10.9001
11,Delta,South South,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1523.7954,NGN per journey,False,1064.3,43.1735,21.4904,21.683
11,Delta,South South,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,925.0072,NGN per journey,True,725.2117,27.55,20.7446,6.8053
12,Ebonyi,South East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1103.0389,NGN per journey,True,850.0,29.7693,8.7201,21.0492
12,Ebonyi,South East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,849.6062,NGN per journey,True,533.3333,59.3012,8.7201,50.581
12,Ebonyi,South East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1375.8134,NGN per journey,True,950.2176,44.7893,10.8334,33.9558
12,Ebonyi,South East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,980.4286,NGN per journey,True,648.5867,51.1638,13.284,37.8799
12,Ebonyi,South East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1362.0481,NGN per journey,True,900.0,51.3387,13.284,38.0547
12,Ebonyi,South East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,999.6537,NGN per journey,False,675.8953,47.9007,17.1152,30.7855
12,Ebonyi,South East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1389.2107,NGN per journey,False,964.3,44.0642,17.1152,26.949
12,Ebonyi,South East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,988.7686,NGN per journey,True,660.3858,49.7259,10.8334,38.8925
13,Edo,South South,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1283.0389,NGN per journey,True,970.0,32.2721,13.741,18.5311
13,Edo,South South,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,740.6062,NGN per journey,True,483.3333,53.2289,13.741,39.4879
13,Edo,South South,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1400.5623,NGN per journey,True,1080.0,29.6817,5.9062,23.7755
13,Edo,South South,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,830.5,NGN per journey,True,534.7922,55.294,11.1737,44.1203
13,Edo,South South,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1398.7477,NGN per journey,True,1050.0,33.2141,11.1737,22.0404
13,Edo,South South,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,881.9448,NGN per journey,False,575.1953,53.3296,7.7258,45.6038
13,Edo,South South,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1410.6704,NGN per journey,False,1090.2033,29.3952,7.7258,21.6693
13,Edo,South South,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,839.85,NGN per journey,True,550.0,52.7,5.9062,46.7938
14,Ekiti,South West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1185.3407,NGN per journey,True,950.0,24.7727,16.426,8.3467
14,Ekiti,South West,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,768.5714,NGN per journey,True,430.0,78.7375,16.426,62.3116
14,Ekiti,South West,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,846.2671,NGN per journey,True,460.0,83.9711,16.521,67.4502
14,Ekiti,South West,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1353.7345,NGN per journey,True,1000.0,35.3735,16.521,18.8525
14,Ekiti,South West,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,892.384,NGN per journey,False,495.1953,80.2085,19.8533,60.3552
14,Ekiti,South West,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1379.3868,NGN per journey,False,1090.2033,26.5256,19.8533,6.6724
14,Ekiti,South West,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,870.7143,NGN per journey,True,488.75,78.1513,18.3987,59.7525
14,Ekiti,South West,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1367.4512,NGN per journey,True,1058.94,29.134,18.3987,10.7352
15,Enugu,South East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1308.0237,NGN per journey,True,1150.0,13.7412,11.0387,2.7025
15,Enugu,South East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,758.0122,NGN per journey,True,500.6667,51.4006,11.0387,40.3619
15,Enugu,South East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,821.9883,NGN per journey,True,600.0,36.9981,18.8779,18.1202
15,Enugu,South East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1561.1164,NGN per journey,True,1180.0,32.298,18.8779,13.4201
15,Enugu,South East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,887.6273,NGN per journey,False,672.5574,31.9779,20.3591,11.6188
15,Enugu,South East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1664.0941,NGN per journey,False,1277.883,30.2227,20.3591,9.8636
15,Enugu,South East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,860.4502,NGN per journey,True,630.0,36.5794,16.9945,19.5849
15,Enugu,South East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1565.6383,NGN per journey,True,1242.3483,26.0225,16.9945,9.028
16,Gombe,North East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1165.3098,NGN per journey,True,1060.0,9.9349,13.7379,-3.803
16,Gombe,North East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,935.2487,NGN per journey,True,600.0,55.8748,13.7379,42.1369
16,Gombe,North East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,998.9853,NGN per journey,True,660.0457,51.3509,19.1926,32.1584
16,Gombe,North East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1312.8955,NGN per journey,True,1170.0,12.2133,19.1926,-6.9793
16,Gombe,North East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1000.8719,NGN per journey,False,694.4098,44.1327,15.3523,28.7804
16,Gombe,North East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1384.2284,NGN per journey,False,1199.0,15.4486,15.3523,0.0963
16,Gombe,North East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,998.9953,NGN per journey,True,688.898,45.0135,20.6306,24.383
16,Gombe,North East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1350.8955,NGN per journey,True,1180.0,14.4827,20.6306,-6.1479
17,Imo,South East,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1217.0357,NGN per journey,True,1150.0,5.8292,10.6073,-4.7781
17,Imo,South East,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1112.274,NGN per journey,True,750.0,48.3032,10.6073,37.6959
17,Imo,South East,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1180.7162,NGN per journey,True,800.0,47.5895,11.9874,35.6021
17,Imo,South East,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1390.0279,NGN per journey,True,1180.0,17.799,11.9874,5.8116
17,Imo,South East,2026-05-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1254.2868,NGN per journey,False,870.2427,44.1307,17.3829,26.7477
17,Imo,South East,2026-05-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1407.3341,NGN per journey,False,1182.1075,19.053,17.3829,1.67
17,Imo,South East,2026-04-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,1200.6175,NGN per journey,True,850.0,41.2491,18.6247,22.6245
17,Imo,South East,2026-04-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1390.7895,NGN per journey,True,1175.9514,18.2693,18.6247,-0.3554
18,Jigawa,North West,2026-01-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1325.9713,NGN per journey,True,1080.0,22.7751,13.8952,8.8799
18,Jigawa,North West,2026-01-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,875.06,NGN per journey,True,520.0,68.2808,13.8952,54.3856
18,Jigawa,North West,2026-03-01,TRANSPORT_OKADA_NGN_PER_JOURNEY,960.5,NGN per journey,True,580.245,65.5335,10.6971,54.8364
18,Jigawa,North West,2026-03-01,TRANSPORT_BUS_INTRACITY_NGN_PER_JOURNEY,1208.3888,NGN per journey,True,1100.0,9.8535,10.6971,-0.8436
